id;name;desctxt;armytype;quality;basehp;baseatk;basedef;fighteff
武将id;武将名字;描述;军队类型，1枪2骑3弓;品质;基础血量;基础攻击力;基础防御;攻击特效
10000;杨奉;;2;3;200;60;50;1001
10001;张飞;;1;4;200;87;46;1002
10002;关羽;;1;4;200;88;60;1001
10003;吕布;;2;4;200;94;58;1002
10004;马超;;3;4;200;83;55;1001
10005;袁绍;;1;4;200;70;48;1001
10006;夏侯渊;;2;4;200;83;50;1001
10008;华雄;;1;3;200;80;46;1001
10009;赵云;;1;4;200;86;53;1002
10010;颜良;;2;3;200;79;48;1001
10011;文丑;;3;3;200;78;47;1001
10013;典韦;;2;4;200;;;
10014;张辽;;3;4;200;;;
10015;魏延;;2;4;200;;;
10016;严颜;;2;3;200;;;
10017;甘宁;;3;4;200;;;
10018;关平;;3;3;200;;;
10019;黄盖;;1;4;200;;;
10020;周仓;;1;2;200;;;
10021;曹彰;;2;3;200;;;
10022;太史慈;;3;4;200;;;
10023;黄忠;;2;4;200;;;
10024;曹仁;;2;3;200;;;
10025;张嗔;;1;2;200;;;
10026;马岱;;2;3;200;;;
10027;马腾;;2;3;200;;;
10028;庞德;;1;2;200;;;
10029;孟获;;1;4;200;;;
10030;吕蒙;;2;4;200;;;
10031;伊籍;;3;2;200;;;
10032;袁术;;1;3;200;;;
10033;袁熙;;1;3;200;;;
10034;袁尚;;3;3;200;;;
10035;袁谭;;2;3;200;;;
10036;刘备;;3;4;200;;;
10037;徐晃;;2;4;200;;;
10038;公孙瓒;;1;4;200;;;
10039;徐庶;;3;4;200;;;
10040;蒯越;;2;3;200;;;
10041;蒯良;;1;3;200;;;
10042;贾诩;;2;4;200;;;
10043;郭嘉;;1;4;200;;;
10045;诸葛亮;;2;4;200;;;
10046;诸葛瑾;;2;3;200;;;
10047;曹洪;;1;3;200;;;
10048;曹植;;1;2;200;;;
10049;司马懿;;1;4;;;;
10050;张松;;2;3;;;;
10051;王朗;;3;3;;;;
10052;韩玄;;3;;;;;
10053;韩馥;;1;;;;;
10054;桥瑁;;2;;;;;
10055;金旋;;3;;;;;
10056;王颀;;3;;;;;
10057;孔七;;2;;;;;
10058;孔融;;3;;;;;
10060;曹操;;3;;;;;
10061;曹丕;;1;;;;;
10062;孙坚;;1;;;;;
10063;孙策;;1;;;;;
10064;孙权;;2;;;;;
10065;赵范;;1;;;;;
10066;张鲁;;2;;;;;
10067;陶谦;;1;;;;;
10068;董卓;;3;;;;;
10069;李噙;;2;;;;;
10070;刘焉;;2;;;;;
10071;刘璋;;3;;;;;
10072;刘禅;;3;;;;;
10073;刘度;;1;;;;;
10074;刘表;;2;;;;;
10075;刘繇;;3;;;;;
10076;于禁;;1;;;;;
10077;郝昭;;3;;;;;
10078;乐进;;2;;;;;
10079;郭图;;2;;;;;
10080;夏侯霸;;2;;;;;
10081;关兴;;3;;;;;
10082;关索;;3;;;;;
10083;韩遂;;1;;;;;
10084;姜维;;2;;;;;
10085;吴懿;;2;;;;;
10086;公孙渊;;3;;;;;
10087;蔡瑁;;2;;;;;
10088;司马师;;3;;;;;
10089;司马昭;;2;;;;;
10090;周泰;;2;;;;;
10091;周瑜;;1;;;;;
10092;蒋琬;;3;;;;;
10093;钟会;;2;;;;;
10094;诸葛恪;;3;;;;;
10095;诸葛诞;;3;;;;;
10096;审配;;1;;;;;
10097;曹休;;3;;;;;
10098;曹真;;1;;;;;
10099;曹爽;;3;;;;;
10100;沮授;;3;;;;;
10102;张昭;;3;;;;;
10103;张苞;;3;;;;;
10104;陈宫;;1;;;;;
10105;陈群;;1;;;;;
10106;程昱;;1;;;;;
10107;田丰;;1;;;;;
10108;马谡;;2;;;;;
10109;马良;;2;;;;;
10110;费掉;;3;;;;;
10111;文聘;;3;;;;;
10112;逢纪;;2;;;;;
10113;法正;;2;;;;;
10114;庞统;;1;;;;;
10115;孟达;;1;;;;;
